,parKurumaNo,parHinban,ParamList,KurumaInfo,parType,parHMCount,parJunsei,parMakerNo,parHinmokuNos,parMakerNos,parSyadaiNo,CallHinban
180,116439 ,"['', '']","['', '']","['', '']",,100 ,,,"['4743', '4743', '4745', '4900', '4900', '4901', '4901', '4902', '4902', '5660', '5620', '5622', '5625', '3845', '4700', '4701', '4702', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '5700', '5700', '5701', '5701', '5702', '5702', '5820', '5860', '6000', '6020', '6080', '6100', '6120', '6180', '3853', '2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270 ']","['2840', '4280', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '1040', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
181,,"['', '']","['18096', '0004', '', ' ']","['151044', '8', 'ｽｽﾞｷ', '43', 'ﾊｽﾗｰ 660 DOHC', '18096', '0004', 'DAA-MR41S', '1807', '1912', 'R06A', '660']",,,,,"['', '']","['', '']",,
182,,['TBM-T002 '],"['', '']","['', '']",,,0 ,0,"['', '']","['', '']",,
183,,['TBM-T002 '],"['', '']","['', '']", ,,,,"['', '']","['', '']",,TBMT002
184,,['BC5621 '],"['', '']","['', '']",,,,,"['', '']","['', '']",,BC5621
185,,"['', '']","['', '', 'FAB', ' ']",[''],,,,,"['', '']","['', '']",,
186,,"['', '']","['', '', 'FBA20', ' ']","['146257', '3', '三菱', '16', 'ｷｬﾝﾀｰ 3000', '0', '', 'TRG-FBA20', '1604', '1905', '4P10T', '3000']",,,,,"['', '']","['', '']",,
187,,['DC2663 '],"['', '']","['', '']",,,0 ,0,"['', '']","['', '']",,
188,,['DC2663 '],"['', '']","['', '']", ,,,,"['', '']","['', '']",,DC2663
189,126188 ,"['', '']","['', '']","['', '']",,50 ,,,"['5280', '5290', '5320', '5340', '5380', '5420', '5440', '5460', '5480', '5500', '5510', '5511', '5512', '5520', '5570', '5580', '5620', '5622', '5625', '5630', '5660', '5700', '5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020', '6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
190,126188 ,"['', '']","['', '']","['', '']",,100 ,,,"['4743', '4743', '4745', '4900', '4900', '4901', '4901', '4902', '4902', '5660', '5620', '5622', '5625', '3845', '4700', '4701', '4702', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '5700', '5700', '5701', '5701', '5702', '5702', '5820', '5860', '6000', '6020', '6080', '6100', '6120', '6180', '3853', '2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270 ']","['2840', '4280', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '1040', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
191,116440 ,"['', '']","['', '']","['', '']",,50 ,,,"['5280', '5290', '5320', '5340', '5380', '5420', '5440', '5460', '5480', '5500', '5510', '5511', '5512', '5520', '5570', '5580', '5620', '5622', '5625', '5630', '5660', '5700', '5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020', '6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
192,116440 ,"['', '']","['', '']","['', '']",,100 ,,,"['4743', '4743', '4745', '4900', '4900', '4901', '4901', '4902', '4902', '5660', '5620', '5622', '5625', '3845', '4700', '4701', '4702', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '5700', '5700', '5701', '5701', '5702', '5702', '5820', '5860', '6000', '6020', '6080', '6100', '6120', '6180', '3853', '2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270 ']","['2840', '4280', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '1040', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
193,116439 ,"['', '']","['', '']","['', '']",,50 ,,,"['5280', '5290', '5320', '5340', '5380', '5420', '5440', '5460', '5480', '5500', '5510', '5511', '5512', '5520', '5570', '5580', '5620', '5622', '5625', '5630', '5660', '5700', '5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020', '6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
194,116439 ,"['', '']","['', '']","['', '']",,100 ,,,"['4743', '4743', '4745', '4900', '4900', '4901', '4901', '4902', '4902', '5660', '5620', '5622', '5625', '3845', '4700', '4701', '4702', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '5700', '5700', '5701', '5701', '5702', '5702', '5820', '5860', '6000', '6020', '6080', '6100', '6120', '6180', '3853', '2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270 ']","['2840', '4280', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '1040', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
195,126188 ,"['', '']","['', '']","['', '']",,50 ,,,"['5280', '5290', '5320', '5340', '5380', '5420', '5440', '5460', '5480', '5500', '5510', '5511', '5512', '5520', '5570', '5580', '5620', '5622', '5625', '5630', '5660', '5700', '5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020', '6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
196,126188 ,"['', '']","['', '']","['', '']",,100 ,,,"['4743', '4743', '4745', '4900', '4900', '4901', '4901', '4902', '4902', '5660', '5620', '5622', '5625', '3845', '4700', '4701', '4702', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '5700', '5700', '5701', '5701', '5702', '5702', '5820', '5860', '6000', '6020', '6080', '6100', '6120', '6180', '3853', '2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270 ']","['2840', '4280', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '1040', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
197,116440 ,"['', '']","['', '']","['', '']",,50 ,,,"['5280', '5290', '5320', '5340', '5380', '5420', '5440', '5460', '5480', '5500', '5510', '5511', '5512', '5520', '5570', '5580', '5620', '5622', '5625', '5630', '5660', '5700', '5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020', '6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
198,116440 ,"['', '']","['', '']","['', '']",,100 ,,,"['4743', '4743', '4745', '4900', '4900', '4901', '4901', '4902', '4902', '5660', '5620', '5622', '5625', '3845', '4700', '4701', '4702', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '5700', '5700', '5701', '5701', '5702', '5702', '5820', '5860', '6000', '6020', '6080', '6100', '6120', '6180', '3853', '2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270 ']","['2840', '4280', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '1040', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
199,116439 ,"['', '']","['', '']","['', '']",,50 ,,,"['5280', '5290', '5320', '5340', '5380', '5420', '5440', '5460', '5480', '5500', '5510', '5511', '5512', '5520', '5570', '5580', '5620', '5622', '5625', '5630', '5660', '5700', '5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020', '6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
200,116439 ,"['', '']","['', '']","['', '']",,100 ,,,"['4743', '4743', '4745', '4900', '4900', '4901', '4901', '4902', '4902', '5660', '5620', '5622', '5625', '3845', '4700', '4701', '4702', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '5700', '5700', '5701', '5701', '5702', '5702', '5820', '5860', '6000', '6020', '6080', '6100', '6120', '6180', '3853', '2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270 ']","['2840', '4280', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '1040', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
201,126188 ,"['', '']","['', '']","['', '']",,50 ,,,"['5280', '5290', '5320', '5340', '5380', '5420', '5440', '5460', '5480', '5500', '5510', '5511', '5512', '5520', '5570', '5580', '5620', '5622', '5625', '5630', '5660', '5700', '5701', '5702', '5740', '5741', '5742', '5780', '5800', '5820', '5840', '5860', '5880', '5900', '5920', '5940', '5960', '5980', '6000', '6020', '6040', '6060', '6080', '6100', '6120', '6140', '6160', '6180', '6190', '6210 ']","['2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
202,126188 ,"['', '']","['', '']","['', '']",,100 ,,,"['4743', '4743', '4745', '4900', '4900', '4901', '4901', '4902', '4902', '5660', '5620', '5622', '5625', '3845', '4700', '4701', '4702', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '5700', '5700', '5701', '5701', '5702', '5702', '5820', '5860', '6000', '6020', '6080', '6100', '6120', '6180', '3853', '2380', '2420', '2421', '2422', '2423', '2880', '3800', '3801', '3802', '3880', '3881', '3882', '4620', '4650', '4700', '4701', '4702', '4740', '4741', '4742', '4743', '4745', '4780', '4781', '4782', '4783', '4784', '4785', '4786', '4840', '4841', '4842', '4843', '4844', '4860', '4861', '4862', '4880', '4900', '4901', '4902', '4960', '4972', '4973', '4974', '4975', '4983', '4984', '4985', '5020', '5060', '5061', '5062', '5101', '5160', '5220', '5221', '5222', '5260', '5270 ']","['2840', '4280', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '1040', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '4280', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '4280', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840', '2840 ']",0,
